2021-11-20 20:47:27.6403447 +0500 PKT m=+24.014885801, 127.0.0.1:8028, balance = 0 
2021-11-20 20:51:38.3735048 +0500 PKT m=+274.748045701, 127.0.0.1:8034, balance = 70 
2021-11-20 20:51:38.3735073 +0500 PKT m=+274.748048201, 127.0.0.1:8000, balance = 50 
2021-11-20 20:51:38.3735087 +0500 PKT m=+274.748049601, 127.0.0.1:8015, balance = 30 
2021-11-20 20:51:38.3735104 +0500 PKT m=+274.748051301, 127.0.0.1:8001, balance = 60 
2021-11-20 20:51:38.3735142 +0500 PKT m=+274.748055101, 127.0.0.1:8025, balance = 50 
2021-11-20 20:51:38.3735156 +0500 PKT m=+274.748056501, 127.0.0.1:8010, balance = 40 
2021-11-20 20:51:38.3735185 +0500 PKT m=+274.748059401, 127.0.0.1:8027, balance = 30 
2021-11-20 20:51:38.3735197 +0500 PKT m=+274.748060601, 127.0.0.1:8035, balance = 20 
2021-11-20 20:51:38.3735226 +0500 PKT m=+274.748063501, 127.0.0.1:8043, balance = 30 
2021-11-20 20:51:38.3735243 +0500 PKT m=+274.748065201, 127.0.0.1:8033, balance = 70 
2021-11-20 20:51:38.3735268 +0500 PKT m=+274.748067801, 127.0.0.1:8003, balance = 70 
2021-11-20 20:51:38.3735293 +0500 PKT m=+274.748070201, 127.0.0.1:8002, balance = 70 
2021-11-20 20:51:38.3735324 +0500 PKT m=+274.748073401, 127.0.0.1:8011, balance = 70 
2021-11-20 20:51:38.3735338 +0500 PKT m=+274.748074801, 127.0.0.1:8041, balance = 30 
2021-11-20 20:51:48.3743215 +0500 PKT m=+284.748862401, 127.0.0.1:8007, balance = 20 
2021-11-20 20:51:48.3743385 +0500 PKT m=+284.748879501, 127.0.0.1:8024, balance = 40 
2021-11-20 20:51:48.374343 +0500 PKT m=+284.748883901, 127.0.0.1:8037, balance = 30 
2021-11-20 20:51:48.3743462 +0500 PKT m=+284.748887101, 127.0.0.1:8030, balance = 20 
2021-11-20 20:51:48.3743484 +0500 PKT m=+284.748889301, 127.0.0.1:8012, balance = 60 
2021-11-20 20:51:48.3743609 +0500 PKT m=+284.748901801, 127.0.0.1:8019, balance = 70 
2021-11-20 20:51:48.3743636 +0500 PKT m=+284.748904501, 127.0.0.1:8038, balance = 90 
2021-11-20 20:51:48.3743653 +0500 PKT m=+284.748906201, 127.0.0.1:8042, balance = 30 
2021-11-20 20:51:48.3743673 +0500 PKT m=+284.748908301, 127.0.0.1:8032, balance = 40 
2021-11-20 20:51:48.3743693 +0500 PKT m=+284.748910301, 127.0.0.1:8028, balance = 40 
2021-11-20 20:51:48.3743707 +0500 PKT m=+284.748911701, 127.0.0.1:8047, balance = 70 
2021-11-20 20:51:48.374373 +0500 PKT m=+284.748913901, 127.0.0.1:8026, balance = 40 
2021-11-20 20:51:48.3744155 +0500 PKT m=+284.748956401, 127.0.0.1:8004, balance = 20 
2021-11-20 20:51:48.3744192 +0500 PKT m=+284.748960201, 127.0.0.1:8040, balance = 60 
2021-11-20 20:51:48.3744215 +0500 PKT m=+284.748962501, 127.0.0.1:8020, balance = 20 
2021-11-20 20:51:48.3744244 +0500 PKT m=+284.748965401, 127.0.0.1:8036, balance = 50 
2021-11-20 20:51:48.3744257 +0500 PKT m=+284.748966601, 127.0.0.1:8017, balance = 40 
2021-11-20 20:51:48.3744276 +0500 PKT m=+284.748968501, 127.0.0.1:8018, balance = 20 
2021-11-20 20:51:48.3744306 +0500 PKT m=+284.748971601, 127.0.0.1:8013, balance = 40 
2021-11-20 20:51:48.3744318 +0500 PKT m=+284.748972801, 127.0.0.1:8008, balance = 30 
2021-11-20 20:51:48.3744333 +0500 PKT m=+284.748974301, 127.0.0.1:8009, balance = 50 
2021-11-20 20:51:48.3744362 +0500 PKT m=+284.748977101, 127.0.0.1:8022, balance = 40 
2021-11-20 20:51:48.3744381 +0500 PKT m=+284.748979001, 127.0.0.1:8050, balance = 0 
2021-11-20 20:51:48.3744402 +0500 PKT m=+284.748981201, 127.0.0.1:8023, balance = 50 
2021-11-20 20:51:48.3744426 +0500 PKT m=+284.748983501, 127.0.0.1:8016, balance = 30 
2021-11-20 20:51:48.3744447 +0500 PKT m=+284.748985701, 127.0.0.1:8045, balance = 40 
2021-11-20 20:51:48.3744467 +0500 PKT m=+284.748987701, 127.0.0.1:8031, balance = 60 
2021-11-20 20:51:48.3744491 +0500 PKT m=+284.748990001, 127.0.0.1:8006, balance = 40 
2021-11-20 20:51:48.3744503 +0500 PKT m=+284.748991201, 127.0.0.1:8034, balance = 70 
2021-11-20 20:51:48.3744524 +0500 PKT m=+284.748993301, 127.0.0.1:8000, balance = 50 
2021-11-20 20:51:48.3744538 +0500 PKT m=+284.748994701, 127.0.0.1:8015, balance = 30 
2021-11-20 20:51:48.3744559 +0500 PKT m=+284.748996901, 127.0.0.1:8048, balance = 60 
2021-11-20 20:51:48.374459 +0500 PKT m=+284.748999901, 127.0.0.1:8021, balance = 60 
2021-11-20 20:51:48.3744607 +0500 PKT m=+284.749001601, 127.0.0.1:8005, balance = 20 
2021-11-20 20:51:48.3744752 +0500 PKT m=+284.749016101, 127.0.0.1:8014, balance = 30 
2021-11-20 20:51:48.3744781 +0500 PKT m=+284.749019001, 127.0.0.1:8025, balance = 50 
2021-11-20 20:51:48.3744854 +0500 PKT m=+284.749026301, 127.0.0.1:8001, balance = 60 
2021-11-20 20:51:48.3744868 +0500 PKT m=+284.749027701, 127.0.0.1:8010, balance = 40 
2021-11-20 20:51:48.374496 +0500 PKT m=+284.749037001, 127.0.0.1:8003, balance = 70 
2021-11-20 20:51:48.3744976 +0500 PKT m=+284.749038501, 127.0.0.1:8002, balance = 70 
2021-11-20 20:51:48.3744988 +0500 PKT m=+284.749039701, 127.0.0.1:8011, balance = 70 
2021-11-20 20:51:48.3745015 +0500 PKT m=+284.749042401, 127.0.0.1:8041, balance = 30 
2021-11-20 20:51:48.3745039 +0500 PKT m=+284.749044801, 127.0.0.1:8027, balance = 30 
2021-11-20 20:51:48.3745061 +0500 PKT m=+284.749047001, 127.0.0.1:8035, balance = 20 
2021-11-20 20:51:48.374508 +0500 PKT m=+284.749049001, 127.0.0.1:8043, balance = 30 
2021-11-20 20:51:48.3745101 +0500 PKT m=+284.749051001, 127.0.0.1:8033, balance = 70 
2021-11-20 20:51:48.3745122 +0500 PKT m=+284.749053101, 127.0.0.1:8039, balance = 20 
2021-11-20 20:51:48.3745145 +0500 PKT m=+284.749055401, 127.0.0.1:8046, balance = 60 
2021-11-20 20:51:48.3745179 +0500 PKT m=+284.749058801, 127.0.0.1:8029, balance = 20 
2021-11-20 20:51:48.37452 +0500 PKT m=+284.749061001, 127.0.0.1:8044, balance = 20 
2021-11-20 20:51:48.374522 +0500 PKT m=+284.749062901, 127.0.0.1:8049, balance = 100 
2021-11-20 20:51:58.3749624 +0500 PKT m=+294.749503401, 127.0.0.1:8019, balance = 70 
2021-11-20 20:51:58.3749842 +0500 PKT m=+294.749525201, 127.0.0.1:8038, balance = 90 
2021-11-20 20:51:58.3749895 +0500 PKT m=+294.749530501, 127.0.0.1:8042, balance = 30 
2021-11-20 20:51:58.3749914 +0500 PKT m=+294.749532301, 127.0.0.1:8032, balance = 40 
2021-11-20 20:51:58.374993 +0500 PKT m=+294.749533901, 127.0.0.1:8028, balance = 40 
2021-11-20 20:51:58.3749965 +0500 PKT m=+294.749537401, 127.0.0.1:8012, balance = 60 
2021-11-20 20:51:58.3749986 +0500 PKT m=+294.749539501, 127.0.0.1:8040, balance = 60 
2021-11-20 20:51:58.3750006 +0500 PKT m=+294.749541501, 127.0.0.1:8020, balance = 20 
2021-11-20 20:51:58.3750022 +0500 PKT m=+294.749543201, 127.0.0.1:8036, balance = 50 
2021-11-20 20:51:58.3750036 +0500 PKT m=+294.749544501, 127.0.0.1:8017, balance = 40 
2021-11-20 20:51:58.3750045 +0500 PKT m=+294.749545401, 127.0.0.1:8018, balance = 20 
2021-11-20 20:51:58.3750058 +0500 PKT m=+294.749546801, 127.0.0.1:8047, balance = 70 
2021-11-20 20:51:58.3750076 +0500 PKT m=+294.749548501, 127.0.0.1:8026, balance = 40 
2021-11-20 20:51:58.3750102 +0500 PKT m=+294.749551101, 127.0.0.1:8004, balance = 20 
2021-11-20 20:51:58.3750124 +0500 PKT m=+294.749553301, 127.0.0.1:8013, balance = 40 
2021-11-20 20:51:58.3750137 +0500 PKT m=+294.749554701, 127.0.0.1:8008, balance = 30 
2021-11-20 20:51:58.3750147 +0500 PKT m=+294.749555601, 127.0.0.1:8050, balance = 0 
2021-11-20 20:51:58.3750168 +0500 PKT m=+294.749557701, 127.0.0.1:8023, balance = 50 
2021-11-20 20:51:58.3750185 +0500 PKT m=+294.749559401, 127.0.0.1:8016, balance = 30 
2021-11-20 20:51:58.3750194 +0500 PKT m=+294.749560401, 127.0.0.1:8045, balance = 40 
2021-11-20 20:51:58.3750203 +0500 PKT m=+294.749561301, 127.0.0.1:8031, balance = 60 
2021-11-20 20:51:58.3750222 +0500 PKT m=+294.749563201, 127.0.0.1:8009, balance = 50 
2021-11-20 20:51:58.3750247 +0500 PKT m=+294.749565701, 127.0.0.1:8022, balance = 40 
2021-11-20 20:51:58.3750266 +0500 PKT m=+294.749567501, 127.0.0.1:8015, balance = 30 
2021-11-20 20:51:58.3750287 +0500 PKT m=+294.749569601, 127.0.0.1:8048, balance = 60 
2021-11-20 20:51:58.3750305 +0500 PKT m=+294.749571401, 127.0.0.1:8021, balance = 60 
2021-11-20 20:51:58.3750324 +0500 PKT m=+294.749573301, 127.0.0.1:8005, balance = 20 
2021-11-20 20:51:58.3750348 +0500 PKT m=+294.749575701, 127.0.0.1:8014, balance = 30 
2021-11-20 20:51:58.375036 +0500 PKT m=+294.749576901, 127.0.0.1:8006, balance = 40 
2021-11-20 20:51:58.3750376 +0500 PKT m=+294.749578501, 127.0.0.1:8034, balance = 70 
2021-11-20 20:51:58.3750387 +0500 PKT m=+294.749579601, 127.0.0.1:8000, balance = 50 
2021-11-20 20:51:58.3750434 +0500 PKT m=+294.749584301, 127.0.0.1:8025, balance = 50 
2021-11-20 20:51:58.3750456 +0500 PKT m=+294.749586501, 127.0.0.1:8001, balance = 60 
2021-11-20 20:51:58.3750469 +0500 PKT m=+294.749587801, 127.0.0.1:8010, balance = 40 
2021-11-20 20:51:58.3750479 +0500 PKT m=+294.749588901, 127.0.0.1:8041, balance = 30 
2021-11-20 20:51:58.3750491 +0500 PKT m=+294.749590001, 127.0.0.1:8027, balance = 30 
2021-11-20 20:51:58.3750531 +0500 PKT m=+294.749594101, 127.0.0.1:8035, balance = 20 
2021-11-20 20:51:58.3750541 +0500 PKT m=+294.749595001, 127.0.0.1:8043, balance = 30 
2021-11-20 20:51:58.3750586 +0500 PKT m=+294.749599501, 127.0.0.1:8033, balance = 70 
2021-11-20 20:51:58.3750595 +0500 PKT m=+294.749600401, 127.0.0.1:8003, balance = 70 
2021-11-20 20:51:58.3750604 +0500 PKT m=+294.749601301, 127.0.0.1:8002, balance = 70 
2021-11-20 20:51:58.3750627 +0500 PKT m=+294.749603701, 127.0.0.1:8011, balance = 70 
2021-11-20 20:51:58.3750648 +0500 PKT m=+294.749605701, 127.0.0.1:8039, balance = 20 
2021-11-20 20:51:58.3750665 +0500 PKT m=+294.749607401, 127.0.0.1:8046, balance = 60 
2021-11-20 20:51:58.3750682 +0500 PKT m=+294.749609201, 127.0.0.1:8029, balance = 20 
2021-11-20 20:51:58.3750701 +0500 PKT m=+294.749611001, 127.0.0.1:8044, balance = 20 
2021-11-20 20:51:58.3750718 +0500 PKT m=+294.749612701, 127.0.0.1:8049, balance = 100 
2021-11-20 20:51:58.3750744 +0500 PKT m=+294.749615301, 127.0.0.1:8007, balance = 20 
2021-11-20 20:51:58.3750773 +0500 PKT m=+294.749618201, 127.0.0.1:8024, balance = 40 
2021-11-20 20:51:58.3750788 +0500 PKT m=+294.749619701, 127.0.0.1:8037, balance = 30 
2021-11-20 20:51:58.3750804 +0500 PKT m=+294.749621301, 127.0.0.1:8030, balance = 20 
2021-11-20 20:52:08.3811049 +0500 PKT m=+304.755645801, 127.0.0.1:8021, balance = 70 
2021-11-20 20:52:08.3811172 +0500 PKT m=+304.755658101, 127.0.0.1:8005, balance = 20 
2021-11-20 20:52:08.3811207 +0500 PKT m=+304.755661601, 127.0.0.1:8014, balance = 30 
2021-11-20 20:52:08.3811237 +0500 PKT m=+304.755664601, 127.0.0.1:8006, balance = 40 
2021-11-20 20:52:08.381126 +0500 PKT m=+304.755666901, 127.0.0.1:8034, balance = 80 
2021-11-20 20:52:08.3811316 +0500 PKT m=+304.755672501, 127.0.0.1:8000, balance = 50 
2021-11-20 20:52:08.3811816 +0500 PKT m=+304.755722601, 127.0.0.1:8015, balance = 40 
2021-11-20 20:52:08.3812134 +0500 PKT m=+304.755754301, 127.0.0.1:8048, balance = 70 
2021-11-20 20:52:08.3812173 +0500 PKT m=+304.755758201, 127.0.0.1:8025, balance = 60 
2021-11-20 20:52:08.3812198 +0500 PKT m=+304.755760801, 127.0.0.1:8001, balance = 70 
2021-11-20 20:52:08.3812214 +0500 PKT m=+304.755762301, 127.0.0.1:8010, balance = 40 
2021-11-20 20:52:08.3812237 +0500 PKT m=+304.755764601, 127.0.0.1:8035, balance = 20 
2021-11-20 20:52:08.3812266 +0500 PKT m=+304.755767601, 127.0.0.1:8043, balance = 30 
2021-11-20 20:52:08.381228 +0500 PKT m=+304.755768901, 127.0.0.1:8033, balance = 70 
2021-11-20 20:52:08.3812308 +0500 PKT m=+304.755771801, 127.0.0.1:8003, balance = 80 
2021-11-20 20:52:08.3812341 +0500 PKT m=+304.755775001, 127.0.0.1:8002, balance = 70 
2021-11-20 20:52:08.3812355 +0500 PKT m=+304.755776401, 127.0.0.1:8011, balance = 90 
2021-11-20 20:52:08.3812375 +0500 PKT m=+304.755778401, 127.0.0.1:8041, balance = 50 
2021-11-20 20:52:08.3812397 +0500 PKT m=+304.755780601, 127.0.0.1:8027, balance = 40 
2021-11-20 20:52:08.3812415 +0500 PKT m=+304.755782401, 127.0.0.1:8029, balance = 30 
2021-11-20 20:52:08.381243 +0500 PKT m=+304.755783901, 127.0.0.1:8044, balance = 20 
2021-11-20 20:52:08.3812454 +0500 PKT m=+304.755786301, 127.0.0.1:8049, balance = 110 
2021-11-20 20:52:08.3812475 +0500 PKT m=+304.755788401, 127.0.0.1:8039, balance = 20 
2021-11-20 20:52:08.381249 +0500 PKT m=+304.755789901, 127.0.0.1:8046, balance = 80 
2021-11-20 20:52:08.3812515 +0500 PKT m=+304.755792401, 127.0.0.1:8037, balance = 30 
2021-11-20 20:52:08.3812531 +0500 PKT m=+304.755794001, 127.0.0.1:8030, balance = 20 
2021-11-20 20:52:08.3812556 +0500 PKT m=+304.755796601, 127.0.0.1:8007, balance = 40 
2021-11-20 20:52:08.3812643 +0500 PKT m=+304.755805301, 127.0.0.1:8024, balance = 40 
2021-11-20 20:52:08.381266 +0500 PKT m=+304.755806901, 127.0.0.1:8042, balance = 30 
2021-11-20 20:52:08.3812672 +0500 PKT m=+304.755808201, 127.0.0.1:8032, balance = 50 
2021-11-20 20:52:08.3812706 +0500 PKT m=+304.755811501, 127.0.0.1:8028, balance = 50 
2021-11-20 20:52:08.3812719 +0500 PKT m=+304.755812801, 127.0.0.1:8012, balance = 70 
2021-11-20 20:52:08.3812753 +0500 PKT m=+304.755816201, 127.0.0.1:8019, balance = 80 
2021-11-20 20:52:08.381277 +0500 PKT m=+304.755817901, 127.0.0.1:8038, balance = 90 
2021-11-20 20:52:08.3812787 +0500 PKT m=+304.755819701, 127.0.0.1:8036, balance = 60 
2021-11-20 20:52:08.3812802 +0500 PKT m=+304.755821101, 127.0.0.1:8017, balance = 40 
2021-11-20 20:52:08.3813226 +0500 PKT m=+304.755863501, 127.0.0.1:8018, balance = 20 
2021-11-20 20:52:08.3813243 +0500 PKT m=+304.755865301, 127.0.0.1:8047, balance = 80 
2021-11-20 20:52:08.3813312 +0500 PKT m=+304.755872101, 127.0.0.1:8026, balance = 40 
2021-11-20 20:52:08.3813326 +0500 PKT m=+304.755873501, 127.0.0.1:8004, balance = 30 
2021-11-20 20:52:08.3813339 +0500 PKT m=+304.755874901, 127.0.0.1:8040, balance = 60 
2021-11-20 20:52:08.3813388 +0500 PKT m=+304.755879701, 127.0.0.1:8020, balance = 20 
2021-11-20 20:52:08.3813427 +0500 PKT m=+304.755883601, 127.0.0.1:8013, balance = 40 
2021-11-20 20:52:08.3813461 +0500 PKT m=+304.755887101, 127.0.0.1:8008, balance = 30 
2021-11-20 20:52:08.3813493 +0500 PKT m=+304.755890201, 127.0.0.1:8016, balance = 40 
2021-11-20 20:52:08.3821432 +0500 PKT m=+304.756684101, 127.0.0.1:8045, balance = 60 
2021-11-20 20:52:08.3821483 +0500 PKT m=+304.756689201, 127.0.0.1:8031, balance = 60 
2021-11-20 20:52:08.3821521 +0500 PKT m=+304.756693001, 127.0.0.1:8009, balance = 50 
2021-11-20 20:52:08.3821548 +0500 PKT m=+304.756695701, 127.0.0.1:8022, balance = 40 
2021-11-20 20:52:08.3821567 +0500 PKT m=+304.756697601, 127.0.0.1:8050, balance = 0 
2021-11-20 20:52:08.3821592 +0500 PKT m=+304.756700101, 127.0.0.1:8023, balance = 50 
2021-11-20 20:52:18.5321198 +0500 PKT m=+314.906660801, 127.0.0.1:8007, balance = 40 
2021-11-20 20:52:18.5321286 +0500 PKT m=+314.906669501, 127.0.0.1:8024, balance = 40 
2021-11-20 20:52:18.5321328 +0500 PKT m=+314.906673701, 127.0.0.1:8037, balance = 30 
2021-11-20 20:52:18.5321348 +0500 PKT m=+314.906675701, 127.0.0.1:8030, balance = 20 
2021-11-20 20:52:18.5321367 +0500 PKT m=+314.906677701, 127.0.0.1:8028, balance = 50 
2021-11-20 20:52:18.5321468 +0500 PKT m=+314.906687701, 127.0.0.1:8012, balance = 70 
2021-11-20 20:52:18.5321492 +0500 PKT m=+314.906690201, 127.0.0.1:8019, balance = 80 
2021-11-20 20:52:18.5321509 +0500 PKT m=+314.906691801, 127.0.0.1:8038, balance = 90 
2021-11-20 20:52:18.5321565 +0500 PKT m=+314.906697501, 127.0.0.1:8042, balance = 30 
2021-11-20 20:52:18.5321592 +0500 PKT m=+314.906700201, 127.0.0.1:8032, balance = 50 
2021-11-20 20:52:18.5321605 +0500 PKT m=+314.906701401, 127.0.0.1:8018, balance = 20 
2021-11-20 20:52:18.5321639 +0500 PKT m=+314.906704901, 127.0.0.1:8047, balance = 80 
2021-11-20 20:52:18.5321659 +0500 PKT m=+314.906706801, 127.0.0.1:8026, balance = 40 
2021-11-20 20:52:18.532167 +0500 PKT m=+314.906707901, 127.0.0.1:8004, balance = 30 
2021-11-20 20:52:18.5321708 +0500 PKT m=+314.906711701, 127.0.0.1:8040, balance = 60 
2021-11-20 20:52:18.5321728 +0500 PKT m=+314.906713801, 127.0.0.1:8020, balance = 20 
2021-11-20 20:52:18.5321741 +0500 PKT m=+314.906715101, 127.0.0.1:8036, balance = 60 
2021-11-20 20:52:18.5321771 +0500 PKT m=+314.906718001, 127.0.0.1:8017, balance = 40 
2021-11-20 20:52:18.5321795 +0500 PKT m=+314.906720501, 127.0.0.1:8013, balance = 40 
2021-11-20 20:52:18.5321814 +0500 PKT m=+314.906722301, 127.0.0.1:8008, balance = 30 
2021-11-20 20:52:18.5321831 +0500 PKT m=+314.906724101, 127.0.0.1:8031, balance = 60 
2021-11-20 20:52:18.532187 +0500 PKT m=+314.906728001, 127.0.0.1:8009, balance = 50 
2021-11-20 20:52:18.5321895 +0500 PKT m=+314.906730501, 127.0.0.1:8022, balance = 40 
2021-11-20 20:52:18.5321922 +0500 PKT m=+314.906733101, 127.0.0.1:8050, balance = 0 
2021-11-20 20:52:18.532195 +0500 PKT m=+314.906735901, 127.0.0.1:8023, balance = 50 
2021-11-20 20:52:18.5321975 +0500 PKT m=+314.906738401, 127.0.0.1:8016, balance = 40 
2021-11-20 20:52:18.5322004 +0500 PKT m=+314.906741401, 127.0.0.1:8045, balance = 60 
2021-11-20 20:52:18.5322045 +0500 PKT m=+314.906745501, 127.0.0.1:8014, balance = 30 
2021-11-20 20:52:18.5322061 +0500 PKT m=+314.906747101, 127.0.0.1:8006, balance = 40 
2021-11-20 20:52:18.5322076 +0500 PKT m=+314.906748501, 127.0.0.1:8034, balance = 80 
2021-11-20 20:52:18.5322112 +0500 PKT m=+314.906752101, 127.0.0.1:8000, balance = 50 
2021-11-20 20:52:18.5322127 +0500 PKT m=+314.906753601, 127.0.0.1:8015, balance = 40 
2021-11-20 20:52:18.5322159 +0500 PKT m=+314.906756801, 127.0.0.1:8048, balance = 70 
2021-11-20 20:52:18.5322186 +0500 PKT m=+314.906759501, 127.0.0.1:8021, balance = 70 
2021-11-20 20:52:18.5322206 +0500 PKT m=+314.906761501, 127.0.0.1:8005, balance = 20 
2021-11-20 20:52:18.5322237 +0500 PKT m=+314.906764601, 127.0.0.1:8025, balance = 60 
2021-11-20 20:52:18.5322284 +0500 PKT m=+314.906769401, 127.0.0.1:8001, balance = 70 
2021-11-20 20:52:18.53223 +0500 PKT m=+314.906770901, 127.0.0.1:8010, balance = 40 
2021-11-20 20:52:18.5322395 +0500 PKT m=+314.906780401, 127.0.0.1:8033, balance = 70 
2021-11-20 20:52:18.5322419 +0500 PKT m=+314.906782901, 127.0.0.1:8003, balance = 80 
2021-11-20 20:52:18.5322435 +0500 PKT m=+314.906784401, 127.0.0.1:8002, balance = 70 
2021-11-20 20:52:18.5322478 +0500 PKT m=+314.906788701, 127.0.0.1:8011, balance = 90 
2021-11-20 20:52:18.5322493 +0500 PKT m=+314.906790201, 127.0.0.1:8041, balance = 50 
2021-11-20 20:52:18.5322546 +0500 PKT m=+314.906795501, 127.0.0.1:8027, balance = 40 
2021-11-20 20:52:18.532256 +0500 PKT m=+314.906797001, 127.0.0.1:8035, balance = 20 
2021-11-20 20:52:18.5322603 +0500 PKT m=+314.906801201, 127.0.0.1:8043, balance = 30 
2021-11-20 20:52:18.5322619 +0500 PKT m=+314.906802801, 127.0.0.1:8049, balance = 110 
2021-11-20 20:52:18.5322663 +0500 PKT m=+314.906807301, 127.0.0.1:8039, balance = 20 
2021-11-20 20:52:18.5322701 +0500 PKT m=+314.906811001, 127.0.0.1:8046, balance = 80 
2021-11-20 20:52:18.5322731 +0500 PKT m=+314.906814001, 127.0.0.1:8029, balance = 30 
2021-11-20 20:52:18.5322818 +0500 PKT m=+314.906822701, 127.0.0.1:8044, balance = 20 
2021-11-20 20:52:28.5330718 +0500 PKT m=+324.907612801, 127.0.0.1:8050, balance = 0 
2021-11-20 20:52:28.5330829 +0500 PKT m=+324.907623801, 127.0.0.1:8023, balance = 60 
2021-11-20 20:52:28.5330851 +0500 PKT m=+324.907626101, 127.0.0.1:8016, balance = 40 
2021-11-20 20:52:28.5330872 +0500 PKT m=+324.907628101, 127.0.0.1:8045, balance = 60 
2021-11-20 20:52:28.5330888 +0500 PKT m=+324.907629701, 127.0.0.1:8031, balance = 70 
2021-11-20 20:52:28.5330992 +0500 PKT m=+324.907640101, 127.0.0.1:8009, balance = 50 
2021-11-20 20:52:28.5331019 +0500 PKT m=+324.907642901, 127.0.0.1:8022, balance = 40 
2021-11-20 20:52:28.5331041 +0500 PKT m=+324.907645001, 127.0.0.1:8015, balance = 50 
2021-11-20 20:52:28.5331075 +0500 PKT m=+324.907648401, 127.0.0.1:8048, balance = 70 
2021-11-20 20:52:28.5331096 +0500 PKT m=+324.907650501, 127.0.0.1:8021, balance = 70 
2021-11-20 20:52:28.5331105 +0500 PKT m=+324.907651501, 127.0.0.1:8005, balance = 30 
2021-11-20 20:52:28.5331142 +0500 PKT m=+324.907655101, 127.0.0.1:8014, balance = 50 
2021-11-20 20:52:28.5331169 +0500 PKT m=+324.907657801, 127.0.0.1:8006, balance = 40 
2021-11-20 20:52:28.5331187 +0500 PKT m=+324.907659701, 127.0.0.1:8034, balance = 80 
2021-11-20 20:52:28.5331206 +0500 PKT m=+324.907661501, 127.0.0.1:8000, balance = 50 
2021-11-20 20:52:28.5331229 +0500 PKT m=+324.907663801, 127.0.0.1:8025, balance = 70 
2021-11-20 20:52:28.5331239 +0500 PKT m=+324.907664901, 127.0.0.1:8001, balance = 80 
2021-11-20 20:52:28.5331258 +0500 PKT m=+324.907666701, 127.0.0.1:8010, balance = 40 
2021-11-20 20:52:28.5331275 +0500 PKT m=+324.907668401, 127.0.0.1:8041, balance = 50 
2021-11-20 20:52:28.5331287 +0500 PKT m=+324.907669601, 127.0.0.1:8027, balance = 40 
2021-11-20 20:52:28.5331297 +0500 PKT m=+324.907670601, 127.0.0.1:8035, balance = 20 
2021-11-20 20:52:28.5331354 +0500 PKT m=+324.907676401, 127.0.0.1:8043, balance = 30 
2021-11-20 20:52:28.5331371 +0500 PKT m=+324.907678001, 127.0.0.1:8033, balance = 70 
2021-11-20 20:52:28.5331389 +0500 PKT m=+324.907679801, 127.0.0.1:8003, balance = 80 
2021-11-20 20:52:28.5331411 +0500 PKT m=+324.907682101, 127.0.0.1:8002, balance = 70 
2021-11-20 20:52:28.5331431 +0500 PKT m=+324.907684001, 127.0.0.1:8011, balance = 100 
2021-11-20 20:52:28.5331453 +0500 PKT m=+324.907686301, 127.0.0.1:8039, balance = 20 
2021-11-20 20:52:28.5331479 +0500 PKT m=+324.907688801, 127.0.0.1:8046, balance = 90 
2021-11-20 20:52:28.5331516 +0500 PKT m=+324.907692501, 127.0.0.1:8029, balance = 40 
2021-11-20 20:52:28.5331538 +0500 PKT m=+324.907694701, 127.0.0.1:8044, balance = 20 
2021-11-20 20:52:28.5331556 +0500 PKT m=+324.907696501, 127.0.0.1:8049, balance = 120 
2021-11-20 20:52:28.5331569 +0500 PKT m=+324.907697801, 127.0.0.1:8007, balance = 40 
2021-11-20 20:52:28.5331595 +0500 PKT m=+324.907700401, 127.0.0.1:8024, balance = 60 
2021-11-20 20:52:28.5331614 +0500 PKT m=+324.907702301, 127.0.0.1:8037, balance = 40 
2021-11-20 20:52:28.5331628 +0500 PKT m=+324.907703701, 127.0.0.1:8030, balance = 20 
2021-11-20 20:52:28.5331641 +0500 PKT m=+324.907705101, 127.0.0.1:8019, balance = 80 
2021-11-20 20:52:28.5331677 +0500 PKT m=+324.907708701, 127.0.0.1:8038, balance = 90 
2021-11-20 20:52:28.5331688 +0500 PKT m=+324.907709701, 127.0.0.1:8042, balance = 30 
2021-11-20 20:52:28.533174 +0500 PKT m=+324.907715001, 127.0.0.1:8032, balance = 60 
2021-11-20 20:52:28.5331753 +0500 PKT m=+324.907716301, 127.0.0.1:8028, balance = 50 
2021-11-20 20:52:28.5331763 +0500 PKT m=+324.907717201, 127.0.0.1:8012, balance = 70 
2021-11-20 20:52:28.5331787 +0500 PKT m=+324.907719601, 127.0.0.1:8040, balance = 90 
2021-11-20 20:52:28.5331806 +0500 PKT m=+324.907721501, 127.0.0.1:8020, balance = 40 
2021-11-20 20:52:28.5331824 +0500 PKT m=+324.907723301, 127.0.0.1:8036, balance = 70 
2021-11-20 20:52:28.5331842 +0500 PKT m=+324.907725101, 127.0.0.1:8017, balance = 40 
2021-11-20 20:52:28.5331861 +0500 PKT m=+324.907727001, 127.0.0.1:8018, balance = 30 
2021-11-20 20:52:28.533188 +0500 PKT m=+324.907728901, 127.0.0.1:8047, balance = 80 
2021-11-20 20:52:28.5331897 +0500 PKT m=+324.907730701, 127.0.0.1:8026, balance = 50 
2021-11-20 20:52:28.5331919 +0500 PKT m=+324.907732801, 127.0.0.1:8004, balance = 30 
2021-11-20 20:52:28.5331937 +0500 PKT m=+324.907734701, 127.0.0.1:8013, balance = 50 
